location,substrate,type,IIIa-tot,IIIb-tot,IIIc-tot,Iia-tot,Iib-tot,Iic-tot,brGDGT-Ia,brGDGT-Ib,brGDGT-Ic,SUMBR,FR.TETR,FR.PEN,FR.HEX,NoRINGStetra,NoRINGSpenta,NoRINGSpenta5,NoRINGSpenta6,IRpenta,IRhexa,,Iia,Iia',Iib,Iib',Iic,Iic',IIIa,IIIa',IIIb,IIIb',IIIc,IIIc'
Schoeningen,Lignite,Paleogene,443856,0,0,3080823,373039,131133,70771845,6947350,4766240,86514284.96,95.34,4.14,0.51,0.20,0.18,0.22,0.11,0.35,0.78,,1963115,1117708,241353,131686,131133,0,96384,347471,0,0,0,0
Schoeningen,Lignite,Paleogene,388546,0,0,2421789,230011,97502,65521161,6122504,4422829,79204341.84,96.04,3.47,0.49,0.20,0.15,0.19,0.09,0.34,0.79,,1575620,846169,150176,79836,97502,0,82626,305920,0,0,0,0
Schoeningen,Lignite,Paleogene,634080,0,0,3846507,436858,180550,116906431,10263333,7229402,139497160.94,96.35,3.20,0.45,0.18,0.18,0.23,0.08,0.33,0.81,,2493503,1353003,317995,118862,180550,0,122812,511268,0,0,0,0
Schoeningen,Lignite,Paleogene,396181,0,0,1814894,256051,73977,47063898,3874573,2936956,56416529.91,95.50,3.80,0.70,0.18,0.19,0.21,0.14,0.27,0.86,,1323074,491820,178272,77779,73977,0,57185,338996,0,0,0,0
Schoeningen,Lignite,Paleogene,353991,0,0,1923634,183897,69331,44593954,3602849,2655383,53383038.04,95.26,4.08,0.66,0.18,0.15,0.17,0.11,0.31,0.88,,1324956,598677,110357,73540,69331,0,43799,310192,0,0,0,0
Schoeningen,Lignite,Paleogene,2072952,0,0,5467828,559109,186693,109954404,11835017,8219865,138295869.15,94.01,4.49,1.50,0.22,0.15,0.16,0.12,0.29,0.91,,3871081,1596748,342506,216603,186693,0,179447,1893505,0,0,0,0
Schoeningen,Lignite,Paleogene,364666,0,0,1238445,130626,45633,23297049,2698679,1726617,29501713.97,93.97,4.80,1.24,0.22,0.16,0.18,0.10,0.31,0.91,,844591,393853,88346,42280,45633,0,33763,330903,0,0,0,0
Schoeningen,Lignite,Paleogene,1303858,0,0,4482017,522456,194267,86910604,9267266,6807734,109488203.09,94.06,4.75,1.19,0.22,0.18,0.18,0.17,0.25,0.90,,3424993,1057024,305608,216848,194267,0,135180,1168678,0,0,0,0
Schoeningen,Lignite,Paleogene,539019,0,0,1679449,187263,59765,32150721,3482079,2582209,40680504.84,93.94,4.74,1.33,0.23,0.16,0.16,0.15,0.30,0.91,,1180942,498507,101001,86262,59765,0,46704,492314,0,0,0,0
Schoeningen,Lignite,Paleogene,872654,0,0,2320340,212666,98466,45917290,5494268,4742518,59658200.65,94.13,4.41,1.46,0.27,0.16,0.19,0.11,0.40,0.93,,1382798,937542,101722,110944,98466,0,58757,813897,0,0,0,0
Schoeningen,Lignite,Paleogene,509055,0,0,1628923,155611,64466,29886623,3321673,2732228,38298579.09,93.84,4.83,1.33,0.24,0.15,0.17,0.11,0.33,0.88,,1091464,537459,86068,69543,64466,0,63204,445851,0,0,0,0
Schoeningen,Lignite,Paleogene,404639,0,0,1065364,102636,40473,18922179,2037085,1490399,24062776.22,93.30,5.02,1.68,0.22,0.15,0.17,0.11,0.35,0.88,,690549,374815,55602,47034,40473,0,47980,356659,0,0,0,0
Schoeningen,Lignite,Paleogene,562907,0,0,1555551,152918,50477,27949499,2883166,2010193,35164710.83,93.40,5.00,1.60,0.21,0.14,0.16,0.10,0.34,0.91,,1024339,531212,91006,61912,50477,0,53003,509904,0,0,0,0
Schoeningen,Lignite,Paleogene,501448,0,0,1345182,138790,49007,19238703,2116468,1657111,25046709.08,91.88,6.12,2.00,0.24,0.15,0.18,0.11,0.32,0.92,,902260,442922,85377,53413,49007,0,39563,461885,0,0,0,0
Cobham,Lignite,Paleogene,20747,0,0,202388,38242,20839,2103540,199635,138269,2723660.40,89.64,9.60,0.76,0.20,0.31,0.31,,0.00,0.00,,202388,0,38242,0,20839,0,20747,0,0,0,0,0
Cobham,Lignite,Paleogene,34581,0,0,397660,111205,45528,4881253,592624,439330,6502179.98,90.94,8.53,0.53,0.25,0.36,0.36,,0.00,0.00,,397660,0,111205,0,45528,0,34581,0,0,0,0,0
Cobham,Lignite,Paleogene,112383,0,0,996224,218395,113023,10723837,957990,630527,13752378.89,89.53,9.65,0.82,0.18,0.33,0.33,,0.00,0.00,,996224,0,218395,0,113023,0,112383,0,0,0,0,0
Cobham,Lignite,Paleogene,78193,0,0,954599,163542,105276,14159716,1183425,1061765,17706513.96,92.65,6.91,0.44,0.20,0.31,0.31,,0.00,0.00,,954599,0,163542,0,105276,0,78193,0,0,0,0,0
Cobham,Lignite,Paleogene,153852,0,0,1953748,225792,118498,25555712,1305381,894921,30207903.39,91.88,7.61,0.51,0.11,0.20,0.20,,0.00,0.00,,1953748,0,225792,0,118498,0,153852,0,0,0,0,0
