Site,coresec,interval,depth,age,1302,1300,1298,1296,1292,1292',1050-1,1050-2,H-1048,H-1048b-1,H-1048b-2,1036-1,1036-2,1034-1,1034-2,H-1034a,H-1034b,H-1034c,H-1034tot,1032-1,1032-2,1022,1020,H-1020p,H-1020a,H-1020b,H-1020c,H-1020tot,1018,1050-tot,1036-tot,1034-tot,1032-tot,,,
1172A,43X-2X,42-44 cm,394.92,39.1209,2.87E+07,6.04E+06,4.84E+06,1.69E+06,3.50E+07,2.71E+06,6.07E+05,7.21E+05,1.66E+04,1.25E+04,1.45E+04,1.55E+06,5.57E+05,2.16E+05,3.03E+05,2.76E+03,1.08E+05,1.01E+05,2.12E+05,4.98E+04,7.38E+04,1.49E+07,7.18E+05,4.20E+04,9.43E+05,5.17E+05,9.02E+05,2.36E+06,3.26E+05,1.33E+06,2.11E+06,5.19E+05,1.24E+05,,,
1172A,43X-3W,85-87 cm,396.85,39.1963,4.44E+06,8.46E+05,5.70E+05,2.00E+05,5.34E+06,3.72E+05,7.21E+04,8.52E+04,1.00E+03,0.00E+00,1.00E+03,1.90E+05,6.46E+04,2.66E+04,3.71E+04,1.00E+03,1.19E+04,1.55E+04,2.84E+04,5.90E+03,9.29E+03,1.86E+06,8.55E+04,7.50E+03,1.94E+05,1.54E+05,1.22E+05,4.70E+05,4.11E+04,1.57E+05,2.55E+05,6.37E+04,1.52E+04,,,
1172A,43X-5W,37-39 cm,402.37,39.4120,1.37E+07,2.89E+06,2.39E+06,7.85E+05,1.83E+07,1.59E+06,3.40E+05,3.36E+05,9.81E+03,8.56E+03,1.01E+04,6.99E+05,2.87E+05,1.05E+05,1.99E+05,2.43E+03,5.91E+04,7.29E+04,1.34E+05,2.26E+04,5.12E+04,7.16E+06,3.66E+05,2.05E+04,6.54E+05,4.09E+05,4.34E+05,1.50E+06,1.72E+05,6.76E+05,9.86E+05,3.04E+05,7.38E+04,,,
1172A,44X-2W,10-12 cm,404.2,39.4835,2.73E+07,5.70E+06,4.55E+06,1.79E+06,3.10E+07,2.51E+06,4.88E+05,4.76E+05,0.00E+00,2.34E+04,4.29E+04,1.60E+06,4.30E+05,1.90E+05,2.95E+05,4.20E+03,1.22E+05,9.58E+04,2.21E+05,5.57E+04,8.59E+04,1.80E+07,9.97E+05,3.99E+04,1.29E+06,9.98E+05,1.31E+06,3.60E+06,4.97E+05,9.64E+05,2.03E+06,4.85E+05,1.42E+05,,,
1172A,44X-3W,102-104 cm,406.62,39.5781,9.63E+06,2.10E+06,1.69E+06,6.32E+05,1.42E+07,1.26E+06,1.59E+05,2.08E+05,6.41E+03,6.30E+03,5.97E+03,5.32E+05,1.89E+05,7.76E+04,1.05E+05,2.22E+03,4.16E+04,4.19E+04,8.57E+04,1.86E+04,2.71E+04,5.64E+06,2.90E+05,1.44E+04,4.39E+05,2.34E+05,4.29E+05,1.10E+06,1.35E+05,3.67E+05,7.21E+05,1.83E+05,4.57E+04,,,
1172A,44X-4W,62-64 cm,407.72,39.6211,1.94E+07,4.43E+06,4.17E+06,1.75E+06,2.69E+07,2.63E+06,4.89E+05,5.47E+05,1.46E+04,1.58E+04,1.35E+04,1.44E+06,4.80E+05,2.10E+05,2.64E+05,3.18E+03,1.09E+05,8.50E+04,1.97E+05,4.83E+04,6.87E+04,1.49E+07,7.76E+05,2.06E+04,8.80E+05,4.69E+05,1.05E+06,2.40E+06,3.79E+05,1.04E+06,1.92E+06,4.74E+05,1.17E+05,,,
1172A,44X-5W,10-12 cm,408.7,39.6594,1.04E+07,2.25E+06,1.87E+06,7.58E+05,1.46E+07,1.24E+06,2.22E+05,1.44E+05,7.18E+03,7.84E+03,6.27E+03,6.64E+05,2.10E+05,9.11E+04,1.12E+05,1.00E+03,4.70E+04,3.36E+04,8.16E+04,2.37E+04,2.97E+04,7.26E+06,3.86E+05,1.65E+04,4.76E+05,2.85E+05,4.84E+05,1.25E+06,1.92E+05,3.66E+05,8.74E+05,2.03E+05,5.34E+04,,,
1172A,44X-7W,10-12 cm,411.7,39.7766,5.52E+06,1.22E+06,1.08E+06,4.25E+05,8.20E+06,6.83E+05,1.12E+05,1.34E+05,4.11E+03,6.65E+03,6.13E+03,3.59E+05,1.28E+05,4.95E+04,6.37E+04,2.48E+03,3.16E+04,2.48E+04,5.90E+04,1.31E+04,1.64E+04,4.31E+06,2.17E+05,1.69E+04,3.56E+05,2.66E+05,3.64E+05,9.86E+05,1.06E+05,2.46E+05,4.87E+05,1.13E+05,2.95E+04,,,
1172A,45X-1W,32-34 cm,412.52,39.8086,3.15E+07,8.20E+06,7.44E+06,3.08E+06,4.47E+07,4.55E+06,7.76E+05,8.85E+05,2.66E+04,9.45E+03,1.70E+04,2.68E+06,8.57E+05,3.34E+05,4.49E+05,8.78E+03,1.85E+05,1.83E+05,3.77E+05,8.55E+04,1.17E+05,2.84E+07,1.47E+06,5.91E+04,1.55E+06,9.12E+05,1.92E+06,4.38E+06,7.20E+05,1.66E+06,3.54E+06,7.83E+05,2.03E+05,,,
1172A,45X-1W,102-104 cm,413.22,39.8360,1.55E+07,3.92E+06,4.30E+06,1.19E+06,2.43E+07,3.04E+06,4.21E+05,4.46E+05,2.00E+04,2.28E+04,1.20E+04,9.49E+05,4.82E+05,1.53E+05,2.89E+05,5.38E+03,7.50E+04,1.04E+05,1.85E+05,3.61E+04,8.13E+04,1.03E+07,5.81E+05,2.92E+04,9.25E+05,5.21E+05,7.06E+05,2.15E+06,2.91E+05,8.67E+05,1.43E+06,4.42E+05,1.17E+05,,,
1172A,45X-2W,32-34 cm,414.12,39.8712,2.11E+07,5.16E+06,6.57E+06,1.91E+06,3.50E+07,4.46E+06,5.23E+05,5.62E+05,2.24E+04,1.57E+04,3.18E+04,1.57E+06,6.74E+05,2.31E+05,3.16E+05,5.91E+03,1.06E+05,1.48E+05,2.60E+05,5.39E+04,7.80E+04,1.51E+07,9.34E+05,6.86E+04,1.27E+06,7.21E+05,1.05E+06,3.04E+06,4.29E+05,1.09E+06,2.24E+06,5.47E+05,1.32E+05,,,
