,,ungrouped dinocyst assemblages,,,,eco-grouped dinocyst assemblages,,,
depth_mbsf,age_GTS12,number of taxa counted,Fisher's alpha,Shannon index,Simpson Index,number of taxa counted,Shannon index,Simpson Index,sumCV (window size 31)
454.45,43.284,20,5.095606152,1.876965464,0.738427409,11,1.695324511,0.7264,27.73482872
455.95,43.4253,19,4.877406002,1.627994976,0.690375734,9,1.423802126,0.67454957,28.16206571
457.45,43.4774,16,3.990310226,1.295560582,0.608581963,10,1.091724523,0.577117627,28.35538417
458.95,43.5264,17,4.085284421,1.476753876,0.635899285,10,1.211619991,0.590349589,28.70462103
470.61,43.9073,20,5.15076675,1.559192553,0.633002915,12,1.419918034,0.627183553,29.67126189
472.15,43.9576,21,5.730420291,1.650808827,0.631091661,11,1.287451486,0.596699866,30.13283589
473.65,44.0066,16,3.996324766,1.429949914,0.607852896,9,1.213617525,0.592147107,30.02809825
475.15,44.0556,15,3.395799877,0.799166889,0.30823974,7,0.654917203,0.302313545,28.36771274
480.25,44.2223,21,5.702209014,2.186702267,0.799492231,11,1.722879754,0.755578512,27.60862028
481.75,44.2713,15,3.395799877,1.03146181,0.412815071,8,0.782524712,0.390637131,26.93986571
483.25,44.3203,15,3.466660393,1.083607907,0.440124626,8,0.921001964,0.430106886,26.69515082
484.75,44.3693,16,3.664114841,1.032470786,0.389806097,9,0.800577852,0.373998153,25.24466591
486.25,44.4183,14,3.207510436,0.879077135,0.318575509,7,0.689628578,0.305313476,25.09642831
487.75,44.4673,14,3.171057669,0.950753939,0.384430764,9,0.788029591,0.372773214,25.3378547
489.85,44.5359,17,4.095162328,1.672584509,0.73135376,11,1.160077632,0.594238281,25.35140605
491.35,44.5849,18,4.251556206,0.904823964,0.351049441,10,0.748536681,0.342596473,24.55517873
492.85,44.6339,12,2.571134207,0.77785013,0.341444156,8,0.677221558,0.334363639,24.44844406
494.35,44.6829,13,2.852789314,1.183553652,0.599715315,9,1.064062621,0.580036207,24.01826488
495.85,44.7319,20,5.082288541,1.245659766,0.551203387,12,1.004637488,0.486828143,24.19624389
497.35,44.7809,19,4.440324425,1.351771446,0.614284571,11,0.892879957,0.449060217,25.28853017
498.7,44.825,17,3.845297115,1.404665455,0.66772152,10,1.179920245,0.631088768,25.15873451
499.45,44.8495,15,3.084693105,0.985759398,0.48636619,9,0.868293074,0.462363534,25.11930374
500.95,44.8985,18,4.135873766,1.237133103,0.546348355,11,1.078258144,0.531565454,24.98635976
502.45,44.9475,17,3.791485491,1.565658213,0.746534329,12,1.108645606,0.576970533,25.14310055
503.95,44.9965,21,5.604402913,1.777113216,0.688168847,10,1.214222824,0.550200654,25.23447411
507.4,45.1093,24,6.269188491,2.317837542,0.856169207,13,1.674207337,0.752879634,25.30465154
508.88,45.1576,18,4.513406615,2.161662061,0.829922445,11,1.621021702,0.686612629,25.47615751
510.54,45.2118,19,4.655640377,1.599760408,0.691738949,12,1.318884015,0.640377991,25.47014176
511.6,45.2465,12,2.392987601,1.384697857,0.679379545,8,1.102575595,0.607393652,26.09775932
512.6,45.2791,14,2.813237714,0.891368529,0.386623992,9,0.428814249,0.170925164,26.19245441
516.7,45.4131,22,5.773786997,2.054457957,0.805136486,8,1.388985076,0.690319108,25.85345687
517.665,45.4446,20,4.643578176,1.677416568,0.655968855,14,1.372691517,0.612542529,25.789663
