Hole,Depth (c. mbsf ,Core (-R),Section (-W),Interval (top),Interval (bottom),,Achilleadonium biformoides,Achomosphaera alcicornu,Achomosphaera crassipellis,Achomosphaera ramulifera,Hystrichostrogylon membraniphorum,Adnatosphaeridium vitanum,Aiora fenestrata,Alisocysta circumtabulata,Alisocysta chilensis,Alisocysta margarita,Alisocysta reticulata sp. A,Alisocysta reticulata ,Alterbidinium acutulum,Alterbidinium distinctum,Amphidiadema? sp.,Apectodinium homomorphum, Apectodinium hyperacanthum , Apectodinium parvum , Apectodinium quinquelatum , Apectodinium cf Wetz ,Apectodinium spp. (pars.),Apteodinium australiense,Arachnodinium antarcticum,Areoligera spp., Areoligera senonensis ,Batiacasphaera spp. (pars),Batiacasphaera compta,Batiacasphaera sp. c.f. B. cassicula,Brigantedinium spp.,Brigantedinium? blank,Caligodinium spp,Cannosphaeropsis sp.,Carpatella spp,Cassidium fragile,Cassidium filosum,Cerebrocysta bartonensis,Cerebrocysta wr small,Cerebrocysta minima,Cerebrocysta delicata,Cerodinium depressum,Cerodinium indet.,Cerodinium debielii,Cerodijnium depressum,Cerodinium sp. A,Cerodinium sp. A 'small' ,Cerodinium speciosum,Cerodinium striata,Circulodinium compactum,Cleistosphaeridium placacanthum,Cleistosphaeridium polypetellum,Cleistosphaeridium diversispinosum,Cordosphaeridium fibrospinosum,Cordosphaeridium minimum,Corrudinium obscurum,Corrudinium regulare,Corrudinium incompositum,Cribroperidinium spp. ,Damassadinium californicum,Danea crassimurata,Dapsilidinium spp.,Deflandrea antarctica,Deflandrea convexa,Deflandrea cygniformis,Deflandrea denticulata,Deflandrea foveolata,Deflandrea oebisfeldensis,Deflandrea phosphoritica,Deflandrea/ Cerodinium spp. (pars.),Deflandrea sp. A,Deflandrea indet.,Diconodinium sp.,diconodinium psilate large,Diconodinium granulate,Dinopterygium sp. A,Dinogymnium,Diphyes colligerum,Elytrocysta brevis,Elytrocysta druggii,Distatodinium paradoxum,Dracodinium waipawaense,Eocladopyxis spp. (pars),"Eocladopyxis sp. A Bijl et al., 2013",Enneadocysta multicornuta,Enndeadocysta partridgei,Enneadocysta pectiniformis,Enneadocysta cf robusta,Exochosphaeridium bifidum,Fibrocysta bipolaris, Fibrocysta spp. ,Fibrocysta sp. A,Florentinia mantellii,Florentinia reichartii,Froomea,Gelatia inflata,Gerdiocysta spp.,Glaphyrocysta delicata,Glaphyrocysta spp. (pars),Glaphyrocysta ordinata,Glaphyrocysta inticata,Glaphyrocysta divaricata,Glaphyrocysta exuberans,Glaphyrocysta pastielsii,Glaphyrocysta retiintexta,Hafniasphaera septata,Heteraolacocysta spp.,Homotryblium oceanicum,Hemiplacophora semilunifera,Hystiocysta verrucosa,Hystiocysta palla,Homotryblium tasmaniense,Hystrichokolpoma pusillum,Hystrichokolpoma bullatum,Hystrichokolpoma spp. (pars.),Hystrichokolpoma rigaudiae,Hystrichokolpoma spinosum,Hystrichokolpoma truncatum,Hystrichosphaeridium ?truswelliae,Hystrichosphaeridium ?tubiferum,Hystrichosphaeropsis spp.,Impagidinium aculeatum,Impagidinium cassiculum,Impagidinium crassimuratum,Impagidinium dispertitum,Impagidinium maculatum,Impagidinium agremom,Impagidinium paradoxum,Impagidinium parvireticulatum,Impagidinium velorum,Impagidinium victorianum,Impagidinium crouchiae,Impagidinium waipawaensis,Impagidinium spp. (pars.),Impletosphaeridium spp.,Isabellidinium spp.,Kallosphaeridium,Kenleyia spp.,Kisselovia coleothrypta,Kisselovia edwardsii,Lejeunecysta hyalina,Lejeunecysta rotundata,Lentinia serrata,Leptodinium pustulatum,Lingulodinium machaerophorum,Lophocysta spp.,Manumiella spp.,Manumiella seymourensis,Manumiella rotunda,Melitasphaeridium speudorecurvatum,Membranophoridium perforatum,Membranosphaera spp.,Microdinium spp.,microdinium? sp. A,Muratodinium finbriatum,Nelsoniella spp.,Nematosphaeropsis labirinthus,Ochetodinium spp.,Octodinium askiniae,Odontochitina operculata,Oligosperidium spp.,Operculodinium centrocarpum,Operculodinium? sp. A,"Operculodinium sp. A Brinkhuis, 2003",Operculodinium spp. pars.,Palaeocystodinium australinum,Palaeocystodinium golzowense,Palaeoperidinium pyrophorum,Palaeotetradinium minisculum,Pentadinium laticinctum,Phthanoperidinium crenulatum,Phthanoperidinium sp.,Phthanoperidium echinatum,Phthanoperidinium comatum,Phthanoperidnium sp A houben 748,Polysphaeridium spp.,Protoperidinium sp. A,Pyxidinopsis waipawaensis,Pyxidinopsis sp. A,Pyxidinopsis meadensis,Reticulatosphaera actinocoronata,Rhombodinium spp.,Rottnestia borussica,Samlandia delicata,Samlandia septata,Schematophora speciosa,Selenopemphix spp.,Senegalinium sp. A brown,Senegalinium sp. B transparent,Senegalinium/Alterbidium indet.,Senegalinium bicavatum,Senegalinium dilwynense,Senoniasphaera inronata,Spinidinium sp. A,Spinidinium densispinatum,Spinidinium macmurdoense,Spinidinium schellenbergii,Spiniferella cornuta,Spiniferites spp. (pars.),Spiniferites ramosus,Spiniferites sp. A Brinkhuis 2003,Spiniferites sp. B Brinkhuis 2003,Stoveracysta kakanuensis,Stoveracysta ornata,subtilisphaera,Tanyosphaeridium spp.,Tectatodinium,Thalassiphora delicata,Thalassiphora pelagica,Trithyrodinium evittii ,Trithyrodinium vermiculatum?,Turbiosphaera filosa,Turbiosphaera galeata,Vozzhennikovia apertura,Vozzhennikovia angulata,Vozzhennikovia röhliae,Vozzhennikovia stickleyae,Vozzhennkovia netrona,Vozzhennikovia spp. (pars.),Wetzelliella astra,Wetzeliella samlandica,Wilsonidium ornatum,Wilsonidium echinosuturatum,total dinoflagellates,,Impagidinium spp.,Cerebrocysta group,Spiniferites group,Operculodinium spp.,Cordosphaeridium fibrospinosum group,Cleistosphaeridium spp.,Batiacasphaera,Diphyes colligerum,Hystrichosphaeridium spp.,"Elytrocysta, Microdinium spp.",Alisocysta/Schematophora,Hystrichokolpoma,Glaphyrocysta group,Enneadocysta spp.,Wetzeliellioids,Palaeoperidinium pyrrophorum,Palaeocystodinium spp.,Spinidinium spp.,Vozzhennikovia spp.,Deflandrea group,Manumiella spp.,Phthanoperidinium spp,Senegalinium group,Goniodomids,Protoperidinium spp.,other,,,"%Group cf. Frieling & Sluijs, 2018",Spiniferites cpx,Cordosphaeridium cpx,Areoligera cpx,Operculodinium,Lingulodinium,Proximal G-cysts Apical,Proximal G-cysts Precingular,Hystrichosphaeridium,Hystrichokolpoma,Cleistosphaeridium,Epicystal Goniodomids,Impagidinium,Florentinia reichartii,Diphyes,Apectodinium,Hafniasphaera,Senegalinium (inclusive),Senegalinium (exclusive),"Phth, Spini & Vozz.",Cerodinium & Deflandrea,Protoperidinioids,Hex-P,Thermophiles,Open Marine,Octodinium askinae,SUM,%endemic,acritarchs,bisaccate,nothofagus,other pollen,spores,sporomorphs unspecified,T/T+M
1172D,663.18,20,7,40,42,PKB,,,,,,,1,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,3,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,102,1,,,,,1,,,,3,,,,,,,2,,,,,,,,1,,,,,,,,,,212,,5,3,3,4,4,0,0,0,3,62,6,0,1,0,0,0,5,1,1,6,0,0,103,0,1,4,,,,1.42,1.89,0.47,1.89,0.00,32.08,1.42,1.42,0.00,0.00,0.00,2.36,0.00,0.00,0.00,0.00,52.36,49.53,49.53,2.83,0.47,52.83,0.00,5.66,0.00,96,1,3,8,2,3,0,,0.06
1172D,663.46,21R,1W,10,12,PKB,,,,,,,,1,,1,11,2,12,,,,,,,,,,,,,,,,2,,,,,,,,,,,,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,117,,,21,,,,,,,5,,,1,,,,2,,,,,,,,,,,,,,,,,,212,,5,0,6,7,0,0,0,0,0,3,15,3,0,0,0,0,7,0,0,12,0,0,150,0,2,2,,,,2.83,0.00,0.00,3.30,0.00,8.49,0.00,0.00,1.42,0.00,0.00,2.36,0.00,0.00,0.00,0.00,76.42,70.75,65.09,5.66,0.94,77.36,0.00,8.49,0.00,96,0,45,30,3,12,6,,0.19
1172D,663.78,21,1,40,42,PKB,,,,3,,,1,1,,,,11,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,5,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,7,,,,2,5,,,,2,,,,,,,,,,,,,,,,,,54,25,,,,,,,1,,10,,,,,,,,,,,,,,,1,,,,,,,,,,207,,3,2,13,7,5,0,0,0,1,32,12,0,8,0,0,0,7,1,1,31,0,2,79,0,0,3,,,,6.28,2.42,3.86,3.38,0.00,21.26,0.97,0.48,0.00,0.00,0.00,1.45,0.00,0.00,0.00,0.00,55.07,40.10,40.10,14.98,0.00,55.07,0.00,11.11,0.00,95,2,0,18,0,9,6,,0.14
1172D,664.96,21R,2W,10,12,PKB,,,2,,,,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,43,,20,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,120,,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,,,,,,216,,3,2,7,0,0,0,0,0,2,0,6,1,3,0,0,0,2,0,0,66,0,0,120,0,2,2,,,,3.24,0.00,1.39,0.00,0.00,2.78,0.93,0.93,0.46,0.00,0.00,1.39,0.00,0.00,0.00,0.00,86.11,55.56,55.56,30.56,0.93,87.04,0.00,4.63,0.00,98,0,32,28,8,15,15,,0.23
1172D,665.27,21,2,40,42,PKB,,,,1,,,,1,,4,,4,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,25,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,112,10,,,,,,,,,13,,,,,,,,,,,,,,,2,,,,,,,,,,235,,0,1,14,0,4,0,0,0,3,37,9,0,3,0,0,0,5,0,2,30,0,0,122,0,1,4,,,,5.96,1.70,1.28,0.00,0.00,19.57,0.43,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.53,52.77,52.77,12.77,0.43,65.96,0.00,5.96,0.00,96,2,3,8,0,10,1,,0.07
1172D,666.46,21R,3W,10,12,PKB,,,,,,,1,,,4,,3,5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,18,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,4,,,,,,,,,,,120,,,3,,,,,,,6,,,3,,,,4,,,,,,,,,2,,,,,,,,,190,,0,4,9,1,0,0,0,0,0,0,10,1,3,0,0,0,1,0,2,22,0,0,128,0,1,8,,,,4.74,0.00,1.58,0.53,0.00,5.26,2.11,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,68.42,65.79,11.58,0.53,80.53,0.00,5.26,0.00,95,2,33,39,9,16,12,,0.29
1172D,666.78,21,3,40,42,PKB,,,,3,,,,,,2,,3,,,,,,,,,,,,,,,,,,,11,,,,,1,,,,,,,12,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,1,,,,,,,,,,1,,,,,,,,4,,,,,,,,,2,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,106,8,,,,,,,,,3,,,,,,,1,,,,,,,,1,,,,,,,,,,214,,4,1,6,3,1,0,0,0,0,40,5,2,0,0,0,0,2,0,1,18,0,0,115,0,0,16,,,,2.80,0.47,0.00,1.40,0.00,21.03,0.47,0.00,0.93,0.00,0.00,1.87,0.00,0.00,0.00,0.00,62.62,54.21,53.74,8.41,0.00,62.62,0.00,6.07,0.00,92,1,5,6,4,7,2,,0.08
1172D,668.03,21,4,15,17,PKB,,,,1,,,,3,,,,,,,,,,,,,,,,1,,,,,,,5,,,1,,3,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,7,,,,,,,,,,,,,,,,,,,,,,117,9,,,,,,,,,14,,,,,,,1,,,,,,,,1,,,,,,,,,,220,,4,3,15,2,0,0,0,0,1,40,4,0,5,0,0,0,7,0,1,6,0,0,126,0,0,6,,,,6.82,0.00,2.27,0.91,0.00,20.00,1.36,0.45,0.00,0.00,0.00,1.82,0.00,0.00,0.00,0.00,60.45,57.73,57.73,2.73,0.00,60.45,0.00,9.55,0.00,94,1,0,14,1,5,2,,0.09
1172D,668.27,21,4,40,42,PKB,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,10,,,3,,2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,9,,,,,1,,,,1,,,,,,,,,,,,,,,,,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,93,1,,,,,4,,,,10,,,,,,,4,,,,,,,,,,,,,,,,,,212,,9,2,10,5,1,0,0,0,0,38,7,0,3,0,0,0,3,4,0,11,0,0,103,1,1,14,,,,4.72,0.47,1.42,2.36,0.47,21.23,0.94,0.00,0.00,0.00,0.00,4.25,0.00,0.00,0.00,0.00,55.66,50.47,46.23,5.19,0.47,56.13,0.00,11.32,0.00,92,0,2,17,0,4,9,,0.12
1172D,669.46,21R,5W,10,12,PKB,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,28,,,,,,,,,,,,,,,,,,,,,,125,,,1,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,182,,0,0,5,1,1,0,0,0,0,2,0,2,5,0,0,0,28,0,0,7,0,0,131,0,0,0,,,,2.75,0.55,2.75,0.55,0.00,1.10,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.82,71.98,69.23,3.85,0.00,75.82,0.00,3.30,0.00,85,0,110,15,0,0,9,,0.12
1172D,669.77,21,5,40,42,PKB,,,,,,,,1,,1,,,,,,,,,,,,,,3,,1,,,,,13,,,3,,2,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,2,,1,,,,,9,1,,,1,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,7,,,,,,,,,,,,,,,,,,,,,,69,1,,,,,1,,,,9,,,,,,,2,,,,,,,,,,,,,,,,,,226,,11,3,9,2,0,0,1,0,1,27,5,2,63,0,0,0,7,1,0,3,0,0,75,0,1,15,,,,3.98,0.00,27.88,0.88,0.00,14.60,1.33,0.44,0.88,0.00,0.00,4.87,0.00,0.00,0.00,0.00,34.96,33.63,31.42,1.33,0.44,35.40,0.00,9.73,0.00,90,0,8,5,1,0,0,,0.03
1172D,673.36,22,1,38,40,PKB,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,253,,20,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,44,3,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,347,,4,1,2,0,0,0,0,0,1,5,5,0,273,0,0,0,4,1,0,1,0,0,48,0,0,2,,,,0.58,0.00,78.67,0.00,0.00,2.88,0.29,0.29,0.00,0.00,0.00,1.15,0.00,0.00,0.00,0.00,14.41,14.12,13.83,0.29,0.00,14.41,0.00,1.73,0.00,98,1,0,0,0,0,0,,0.00
1172D,674.55,22R,2W,9,11,PKB,,,,,,,1,,,1,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,2,,1,,,,,,1,,,,,,,,1,,1,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,37,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,2,0,0,0,0,0,0,1,1,2,3,2,135,0,0,0,8,0,0,7,0,0,47,1,2,1,,,,0.00,0.00,63.68,0.00,0.00,2.36,0.00,0.47,0.94,0.00,0.47,0.94,0.00,0.47,0.00,0.00,25.47,22.17,19.81,3.30,0.94,26.42,0.47,0.94,0.00,96,0,2,5,0,4,7,,0.07
1172D,674.94,22,2,46,48,PKB,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,222,,,,,,,,,,,,,,,,,,,,2,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,27,1,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,275,,5,0,1,0,0,0,0,0,2,7,1,0,222,0,0,0,2,0,3,4,0,0,28,0,0,0,,,,0.36,0.00,80.73,0.00,0.00,2.91,0.00,0.73,0.00,0.00,0.00,1.82,0.00,0.00,0.00,0.00,12.73,11.27,11.27,1.45,0.00,12.73,0.00,2.18,0.00,99,3,0,2,0,0,1,,0.01
1172D,675.57,22R,CCW,4,6,PKB,,,,,,,,,1,1,,1,8,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,881,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,5,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,920,,1,1,2,1,0,0,0,2,0,8,3,0,881,0,0,0,3,0,0,1,0,0,15,0,0,2,,,,0.22,0.00,95.76,0.11,0.00,1.20,0.11,0.00,0.00,0.00,0.00,0.11,0.00,0.22,0.00,0.00,1.74,1.63,0.76,0.11,0.00,1.74,0.00,0.43,0.00,99,0,2,1,0,2,2,,0.01
1172D,682.77,23R,1W,9,11,PKB,,,,,,,,9,,1,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,3,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,3,,1,,,,,,1,,,,,,,,,,6,,,,,5,1,,,,,,,,,,,2,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,15,,,,,,,,,3,,,,,,,1,,,,,,,,,329,,1,0,15,0,3,0,0,0,1,6,11,3,130,0,0,0,1,0,1,5,0,0,139,0,11,2,,,,4.56,0.91,39.51,0.00,0.00,5.17,0.00,0.30,0.91,0.00,0.00,0.30,0.00,0.00,0.00,0.00,44.07,42.55,40.73,1.52,3.34,47.42,0.00,4.86,0.61,100,3,3,10,0,3,2,,0.04
1172D,683.09,23,1,41,43,PKB,,,,,,,2,11,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,3,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,8,,,,,1,2,,,,,,,,4,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,46,48,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,236,,7,0,5,2,3,0,0,0,8,12,11,0,75,0,0,0,3,0,0,4,0,0,101,0,1,4,,,,2.12,1.27,31.78,0.85,0.00,9.75,0.00,3.39,0.00,0.00,0.00,2.97,0.00,0.00,0.00,0.00,44.49,42.80,39.83,1.69,0.42,44.92,0.00,5.93,0.00,97,0,0,1,0,0,0,,0.00
1172D,683.26,23,1,58,60,PKB,,,,2,,,1,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,4,,,,,,,,,,,,,,102,,,,,,,,,,,,,,3,,2,,,,,1,,,,,,,,,2,,2,,,,,12,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,60,12,,,,,,,,,4,,,,,,,1,,,,,,1,,,,,,,,,,,,225,,3,0,6,2,5,0,1,0,2,8,3,3,102,0,0,0,1,0,0,1,0,0,74,0,12,2,,,,2.67,2.22,45.33,0.89,0.00,5.33,0.00,0.89,1.33,0.00,0.00,1.33,0.00,0.00,0.00,0.00,33.33,32.89,32.00,0.44,5.33,38.67,0.00,4.89,0.00,99,1,0,2,0,0,6,,0.03
1172D,684.23,23,2,4,6,PKB,,,,2,,,,3,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,4,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,89,3,,,,,2,,,,5,,,,,,,3,,,,,,,,34,,,,,,,,,,227,,0,1,7,0,4,0,0,0,2,15,8,0,37,0,0,0,6,2,34,5,0,0,102,0,0,4,,,,3.08,1.76,16.30,0.00,0.00,10.13,0.44,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,60.79,56.39,2.20,0.00,63.00,0.00,3.08,0.00,96,34,0,2,0,0,2,,0.02
1172D,684.27,23R,2W,8,10,PKB,,,,,,,,2,,2,7,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,4,,2,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,150,,,11,1,,6,,,,9,,,,,,,1,,,,,,,,3,10,,,,,,,,,238,,1,2,9,0,0,0,0,0,2,3,14,4,12,0,0,0,1,6,13,4,0,0,163,0,3,1,,,,3.78,0.00,5.46,0.00,0.00,6.72,0.84,0.84,1.68,0.00,0.00,0.42,0.00,0.00,0.00,0.00,78.15,76.47,75.63,1.68,1.26,79.41,0.00,4.20,0.00,99,13,65,4,2,3,1,,0.04
1172D,692.97,24,1,60,62,PKB,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,6,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,11,100,,,,,,,,,,2,,,,,,,,,,,12,8,,,,,23,,,,3,,,,,,,5,,,,,,,,41,,,,,,,,,,258,,2,3,3,0,2,0,0,0,0,27,3,0,0,0,0,100,11,23,41,7,0,0,21,0,0,15,,,,1.16,0.78,0.00,0.00,0.00,11.63,1.16,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,35.66,32.95,32.56,2.71,0.00,35.66,0.00,1.94,0.00,51,41,0,5,1,1,1,,0.03
1172D,694.47,24,2,60,62,PKB,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,30,,,,2,,24,,,,22,,,,,,,,,,,,,,,51,,,1,,,,,,,221,,3,7,27,0,9,0,0,0,9,48,3,0,0,0,0,0,3,24,52,5,0,0,31,0,0,0,,,,12.22,4.07,0.90,0.00,0.00,22.17,3.17,4.07,0.00,0.00,0.00,1.36,0.00,0.00,0.00,0.00,50.68,48.42,47.96,2.26,0.00,50.68,0.00,13.57,0.00,99,52,2,3,0,0,5,,0.03
1172D,695.97,24,3,60,62,PKB,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,19,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,,,,3,7,,,,,,,,,,1,,,,,,,,,,,48,20,,,1,,21,,,,8,,,,,,,,,,,,,,,77,,,5,,,,,,,246,,0,1,8,0,5,0,0,0,2,16,1,0,0,0,0,7,3,21,82,8,4,0,87,0,0,1,,,,3.25,2.03,0.41,0.00,0.00,6.50,0.41,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.11,78.86,69.51,3.25,0.00,82.11,0.00,3.25,0.00,96,82,0,9,3,2,2,,0.06
1172D,697.47,24,4,59,61,PKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,25,,50,1,,25,,,,7,,1,,,,,1,,,,1,,,,,,,,,,,,,,120,,0,1,8,2,0,0,0,1,1,0,1,0,0,0,0,0,1,25,0,2,0,0,75,0,0,3,,,,6.67,0.00,0.83,1.67,0.00,0.00,0.83,1.67,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,85.00,83.33,83.33,1.67,0.00,85.00,0.00,8.33,0.00,98,0,25,,,,,11,0.08
