Hole,Depth (c. mbsf ,Core (-R),Section (-W),Interval (top),Interval (bottom),Dage,Open,Spinif,Cribro,Cleisto,Proxgap,Aliso,Glaph,Ennead,Wetzel,Palaeop,Spinvozz,Defl,Phthano,Seneg,Gonio,Protop,Thermo,Endemic,Terr,,,,
1172A,415.42,45,3,22,24,39.92,0.9,0.3,0.0,0.0,0.3,0.0,0.0,92.3,0.0,,2.1,1.2,0.0,0.3,0.0,1.5,0.0,2.9,1.7,,,,
1172A,416.22,45,3,102,104,39.95,6.1,4.4,0.0,0.0,9.6,0.0,0.0,37.7,0.0,,8.8,1.8,28.9,0.0,0.0,3.5,0.0,19.3,7.3,,,,
1172A,417.72,45,4,102,104,40.01,5.9,5.3,0.0,0.0,1.6,0.0,0.0,76.6,0.0,,7.9,4.6,1.6,0.0,0.0,0.3,0.0,23.7,2.6,,,,
1172A,419.12,45,5,92,94,40.07,5.7,2.8,0.0,0.0,0.0,0.0,0.0,39.6,0.0,,22.6,21.7,0.9,0.0,3.8,0.9,2.8,52.8,10.2,,,,
1172A,420.02,45,6,32,34,40.10,6.7,0.0,0.0,0.0,6.7,1.7,0.0,18.3,0.0,,10.0,23.3,20.0,3.3,0.0,10.0,0.0,38.3,10.4,,,,
1172A,420.92,45,6,122,124,40.14,20.1,17.2,0.0,0.0,3.6,2.4,0.0,7.1,0.0,,36.1,16.6,3.6,0.6,0.0,1.2,0.0,55.0,2.9,,,,
1172A,421.62,45,7,42,44,40.21,7.1,3.0,0.0,0.0,3.0,0.0,0.0,18.8,0.0,,22.3,27.4,4.1,0.0,0.0,12.2,0.0,53.8,20.9,,,,
1172A,422.92,46,1,112,114,40.36,11.6,4.0,1.1,0.6,1.1,0.0,4.0,7.4,0.0,,30.7,16.5,4.5,0.0,9.1,9.1,9.1,47.7,8.8,,,,
1172A,424.15,46,2,85,87,40.49,23.3,9.2,2.5,0.0,12.5,0.0,0.0,12.5,0.0,,0.0,30.8,6.7,0.8,0.0,0.8,0.0,42.5,9.8,,,,
1172A,425.62,46,3,82,84,40.66,11.9,4.2,0.0,0.8,0.0,0.0,0.0,33.9,0.0,,28.8,3.4,7.6,0.8,0.0,5.9,0.0,68.6,5.6,,,,
